env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
42100,8.538199315358722e+19,383813402.24,390557268.48,-7040136652.8,3.9703,1678244846.08,2484388144417606.5,1038652137472.0,815.7954,8.7044
42200,9.480072923121499e+19,388295559.68,395132844.8,-7401086433.28,3.9703,1768115863.04,2636586950728237.0,990651457536.0,4237.2979,41.8111
42300,1.0525623000704485e+20,392841196.8,399771416.96,-7781156618.24,3.9703,1862799516.16,2823981682201792.0,961650704384.0,314.2917,3.1546
42400,1.1686375121571237e+20,397412757.76,404435549.44,-8181370890.24,3.9703,1962553548.8,2978648831294336.0,947354312704.0,640.1382,5.6707
42500,1.2974934509235043e+20,402032416.64,409147594.88,-8602808565.76,3.9703,2067649479.68,3167565267125081.5,917624823808.0,505.9124,3.5698
42600,1.4405461536455518e+20,406674769.28,413884967.04,-9046601809.92,3.9703,2178373342.72,3348296381079373.0,869897609216.0,310.4557,1.4197
42700,1.5993518690812205e+20,411355948.16,418661711.36,-9513946009.6,3.9703,2295026575.36,3562735260539853.0,841107529728.0,1808.208,13.2407
42800,1.7756494986192893e+20,416063088.64,423467043.84,-10006100951.04,3.9703,2417926584.32,3826276443061696.0,836513095680.0,266.9554,3.0539
42900,1.971357832546934e+20,420813642.88,428314147.84,-10524392304.64,3.9703,2547408015.36,4010783602759898.0,806443630592.0,118.8933,0.8705
43000,2.188617998235435e+20,425595253.12,433192867.84,-11070219448.32,3.9703,2683823278.08,4276752765561945.5,781970620416.0,1264.8782,10.0923
43100,2.4298028156647136e+20,430405783.04,438101559.68,-11645054668.8,3.9703,2827543613.44,4543304135349875.0,716434165760.0,266.8682,1.935
43200,2.6975351566286904e+20,435267096.96,443062311.04,-12250450329.6,3.9703,2978960245.76,4815091196504230.0,732041207808.0,1432.581,11.9502
43300,2.9947492570220855e+20,440152120.96,448047702.4,-12888041328.64,3.9703,3138485427.2,5098116213127808.0,690123841536.0,914.8358,7.6363
43400,3.324677272891844e+20,445084065.92,453082351.36,-13559547002.88,3.9703,3306553149.44,5438548245425805.0,676936454144.0,1394.7304,11.0457
43500,3.690935264005647e+20,450034738.56,458132739.2,-14266785505.28,3.9703,3483621094.4,5752463409529306.0,659305562112.0,498.9796,4.282
43600,4.097517486946758e+20,455010262.4,463211623.68,-15011665940.48,3.9703,3670171079.68,6091622621578010.0,628460158976.0,963.9377,6.5873
43700,4.5488596566150395e+20,460012850.56,468316393.6,-15796203110.4,3.9703,3866710942.72,6491639967573350.0,615667425280.0,3046.6071,24.6075
43800,5.0498342667054645e+20,465124679.04,473532041.6,-16622519070.72,3.9703,4073775600.64,6901543902055501.0,599226818560.0,2378.7468,19.3755
43900,5.605984291344405e+20,470221296.64,478734494.72,-17492852244.48,3.9703,4291928744.96,7375901952421325.0,572061855744.0,2085.6791,16.4651
44000,6.223347671367905e+20,475351099.52,483970306.56,-18409552363.52,3.9703,4521764167.68,7727243522917197.0,576467693568.0,6283.5146,49.8547
44100,6.908646015146066e+20,480531049.6,489256440.32,-19375104163.84,3.9703,4763907358.72,8228763408540159.0,542969802752.0,705.7588,6.4634
44200,7.669373361716953e+20,485738556.16,494570420.48,-20392122859.52,3.9703,5019017461.76,8724724501066906.0,536557551616.0,1254.7795,9.6143
44300,8.513813069285198e+20,490987522.56,499927669.76,-21463359160.32,3.9703,5287788810.24,9266773356524084.0,514107887616.0,944.0565,7.8954
44400,9.451188650625145e+20,496267456.64,505316883.84,-22591717498.88,3.9703,5570953123.84,9797809823002752.0,493869998080.0,1327.2064,6.8685
44500,1.0491704361772489e+21,501597238.4,510756793.6,-23780254023.68,3.9703,5869281034.24,1.0397879862399052e+16,479314329600.0,5002.4224,39.5784
44600,1.1646704010206139e+21,506979010.56,516249895.68,-25032189337.6,3.9703,6183584604.16,1.1019894321296666e+16,466651439104.0,805.8783,6.1804
44700,1.292884280939525e+21,512355080.32,521736259.2,-26350916362.24,3.9703,6514719119.36,1.171573106920576e+16,450271805440.0,3206.3582,25.5941
44800,1.4352045115331463e+21,517781960.96,527276298.88,-27740010823.68,3.9703,6863586273.28,1.2560998454858726e+16,440116862976.0,1285.6825,9.2135
44900,1.5931819931830308e+21,523269025.92,532875719.04,-29203237273.6,3.9703,7231135477.76,1.3192105255120614e+16,416946733056.0,9006.6848,67.8837
45000,1.7685458576333595e+21,528759296.64,538480418.56,-30744565923.84,3.9703,7618367180.8,1.4013481425385676e+16,419249172480.0,482.4056,1.9218
45100,1.963204623445721e+21,534284182.4,544120314.88,-32368175841.28,3.9703,8026335272.96,1.4820281710688052e+16,399912570880.0,5833.9346,31.7333
45200,2.1792746080832604e+21,539891883.52,549844232.96,-34078469611.52,3.9703,8456150323.2,1.5738210879440768e+16,374853124096.0,481.7853,4.4273
45300,2.419123128690105e+21,545494827.52,555563624.96,-35880091074.56,3.9703,8908982312.96,1.6679380480054604e+16,381360949248.0,462.5625,0.9331
45400,2.6853585744689355e+21,551142170.88,561328047.36,-37777925816.32,3.9703,9386063790.08,1.776773882071122e+16,359129915392.0,7556.8611,48.1805
45500,2.9808832901996106e+21,556835448.32,567138261.76,-39777125990.4,3.9703,9888693125.12,1.879550510061184e+16,344567093248.0,1163.2931,9.3431
45600,3.308917904121405e+21,562579912.96,573001799.68,-41883117977.6,3.9703,10418238545.92,1.989608364087575e+16,342153312256.0,9645.1956,72.9099
45700,3.673046470889772e+21,568329635.84,578872595.2,-44101618483.2,3.9703,10976141537.28,2.1296821028250932e+16,328093855744.0,1927.5053,6.9261
45800,4.077227412508691e+21,574152727.04,584815358.72,-46438650757.12,3.9703,11563920527.36,2.242032715289828e+16,326102755328.0,670.1367,2.6949
45900,4.525876221308322e+21,579987714.56,590772413.44,-48900558766.08,3.9703,12183175598.08,2.3726544719726412e+16,308508196864.0,11355.3512,69.5063
46000,5.023875013205718e+21,585889108.48,596796262.4,-51494028247.04,3.9703,12835592007.68,2.5418231552627816e+16,304371054592.0,514.7977,2.765
46100,5.576656232733394e+21,591830364.16,602862449.92,-54226105630.72,3.9703,13522945720.32,2.675072131932045e+16,302533459968.0,18050.4965,110.161
46200,6.190258767890693e+21,597754865.92,608909527.04,-57104208281.6,3.9703,14247107665.92,2.848481151656942e+16,278937907200.0,1479.2608,2.0366
46300,6.871345165153352e+21,603775362.56,615056051.2,-60136150630.4,3.9703,15010048860.16,3.0167993377879092e+16,275191244800.0,18813.8871,131.6054
46400,7.627356102940726e+21,609818877.44,621224782.08,-63330176696.32,3.9703,15813845893.12,3.1975303616634544e+16,268690847744.0,2908.8294,11.5224
46500,8.466528777561268e+21,615900803.84,627432601.6,-66694959841.28,3.9703,16660686745.6,3.3855083321592704e+16,262425001984.0,2429.9485,12.3142
46600,9.398007218885396e+21,622027875.84,633687869.44,-70239641518.08,3.9703,17552876318.72,3.584351205843172e+16,250133276672.0,11288.8962,53.0856
46700,1.0431950511844545e+22,628180712.96,639970818.56,-73973857157.12,3.9703,18492843540.48,3.80287943052528e+16,245448902656.0,4955.7642,31.6845
46800,1.157961473942638e+22,634402046.72,646322274.56,-77907750420.48,3.9703,19483146403.84,4.024667497511808e+16,234880227328.0,4783.8969,25.8568
46900,1.2853539071411408e+22,640588277.76,652638091.52,-82052011458.56,3.9703,20526480343.04,4.2724797621775144e+16,235437619200.0,1347.8251,4.8692
47000,1.4267563204562527e+22,646891461.12,659071788.8,-86417905418.24,3.9703,21625685688.32,4.5334402484053656e+16,229032464384.0,2886.1524,6.7037
47100,1.583711633609512e+22,653239943.68,665554190.08,-91017302343.68,3.9703,22783754280.96,4.818112372413916e+16,221691344896.0,4758.4233,21.5562
47200,1.7579326038198041e+22,659579687.68,672027070.72,-95862704701.44,3.9703,24003837992.96,5.139302820735224e+16,216256569344.0,6418.5374,27.5267
47300,1.951315336602245e+22,665983836.16,678566156.8,-100967276052.48,3.9703,25289258598.4,5.451245462641039e+16,200385188864.0,24700.406,114.7625
47400,2.165969788648456e+22,672393274.88,685108148.48,-106344901345.28,3.9703,26643513548.8,5.736566675158656e+16,203816752128.0,684.1064,3.9726
47500,2.404229912184725e+22,678928288.0,691779840.0,-112010195271.68,3.9703,28070289653.76,6.138210077209266e+16,194344260608.0,7373.5757,31.5222
47600,2.6686983374357093e+22,685447400.96,698435852.8,-117978563215.36,3.9703,29573470453.76,6.451235907976094e+16,193693467648.0,2172.1608,14.1533
47700,2.9622579491272783e+22,691949698.56,705076656.64,-124266232381.44,3.9703,31157147648.0,6.824623628939098e+16,184137726976.0,18975.9869,124.6486
47800,3.2881007635673228e+22,698572440.32,711838456.32,-130890295541.76,3.9703,32825631416.32,7.253524178856355e+16,178702060544.0,2977.2865,18.8907
47900,3.649781940316088e+22,705230105.6,718635934.72,-137868768542.72,3.9703,34583463608.32,7.67330776475046e+16,177767301120.0,37928.1617,175.6132
