env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
2900,29.9273,-15.8829,-15.8843,8.2997,2.7591,2.7714,11.8731,25.5779,0.0153,0.0025
3000,30.0657,-16.1278,-16.1296,8.231,2.7622,2.8899,17.9229,41.6103,0.0182,0.0087
3100,31.1065,-15.5982,-15.6004,7.3905,2.7626,3.0146,25.9987,68.647,0.0169,0.0079
3200,34.1866,-15.1501,-15.151,6.5353,2.7613,3.146,33.7217,99.564,0.0263,0.011
3300,31.9783,-14.4623,-14.4596,5.4429,2.7625,3.2843,10.5173,23.2244,0.0225,0.0119
3400,34.0006,-14.0222,-14.0205,4.6027,2.7663,3.43,22.3627,59.9174,0.0165,0.0076
3500,34.2274,-13.3143,-13.3092,3.4344,2.764,3.5833,26.9814,88.1019,0.0239,0.009
3600,35.6241,-11.9883,-11.9836,1.6956,2.7665,3.7449,13.6404,27.9043,0.0125,0.0062
3700,36.1908,-11.4784,-11.473,0.7152,2.766,3.915,13.8263,34.5606,0.0144,0.009
3800,41.2788,-10.4026,-10.393,-0.8803,2.7654,4.0942,15.57,46.0553,0.0098,0.0021
3900,40.6371,-9.1707,-9.1583,-2.6051,2.7682,4.2829,15.7173,42.4391,0.0175,0.0059
4000,45.3344,-7.9171,-7.9014,-4.4817,2.7636,4.4817,11.6702,33.1248,0.013,0.0044
4100,48.924,-6.8233,-6.7928,-6.1513,2.7643,4.6913,12.7671,32.9539,0.0113,0.0036
4200,52.5831,-5.5858,-5.5413,-7.9756,2.7656,4.912,10.6905,26.6428,0.018,0.0142
4300,61.5466,-4.6309,-4.5621,-9.6075,2.7641,5.1444,14.2359,40.4558,0.0092,0.0068
4400,69.206,-3.3816,-3.2563,-11.5387,2.7637,5.3893,9.4627,27.6471,0.0085,0.0075
4500,78.563,-2.06,-1.8426,-13.5956,2.7623,5.6474,21.7558,65.6378,0.0131,0.0155
4600,79.2188,-0.8262,-0.4366,-15.5765,2.7572,5.9193,21.4128,62.5112,0.0095,0.0103
4700,65.0064,1.2096,1.8047,-18.3955,2.7407,6.2063,41.4701,125.1859,0.0145,0.0129
4800,46.0965,4.0959,4.604,-22.2301,2.7232,6.5097,32.5949,101.7417,0.0555,0.061
4900,35.8034,7.2358,7.4776,-26.2409,2.7301,6.8298,66.2806,210.2349,0.0542,0.0616
5000,33.2454,9.4433,9.5425,-29.3225,2.7456,7.1662,66.0816,218.9766,0.0523,0.0478
5100,33.9366,11.9099,11.9557,-32.7504,2.7526,7.5196,27.5118,69.3218,0.0325,0.0278
5200,32.9566,14.2007,14.2238,-36.0955,2.7564,7.8915,22.9527,70.2482,0.0213,0.0126
5300,35.0595,17.3296,17.3403,-40.2408,2.7583,8.2831,41.6484,122.6525,0.036,0.021
5400,39.523,21.0185,21.0212,-45.0834,2.7624,8.6954,61.4317,189.5432,0.0181,0.0055
5500,40.299,24.2542,24.255,-49.4809,2.7617,9.1296,79.5651,250.6731,0.0429,0.0337
5600,43.0659,28.7848,28.7821,-55.3431,2.7645,9.587,27.8251,71.5903,0.0278,0.0096
5700,48.4449,33.2227,33.2246,-61.0866,2.7636,10.0687,72.7531,211.63,0.023,0.0105
5800,59.9709,37.9252,37.9281,-67.2053,2.7656,10.5763,43.1925,119.087,0.034,0.0233
5900,53.5178,44.1124,44.1136,-74.8493,2.7666,11.1109,29.8415,75.0615,0.0308,0.0192
6000,53.9661,49.3954,49.4009,-81.8061,2.7674,11.674,61.8202,189.1581,0.0225,0.0043
6100,87.3849,55.7614,55.766,-89.7644,2.7678,12.2672,123.5399,347.7643,0.0403,0.0143
6200,84.9188,61.908,61.9137,-97.6696,2.7681,12.8922,124.0613,337.3123,0.0511,0.0344
6300,95.1576,69.4609,69.4656,-106.9889,2.7685,13.5506,149.0283,363.2076,0.0323,0.0129
6400,91.1609,77.1654,77.1718,-116.7311,2.7687,14.2443,51.903,117.3728,0.0331,0.0044
6500,132.5625,85.2503,85.251,-126.7919,2.7678,14.9753,99.4438,210.3962,0.0471,0.0113
6600,134.7229,93.8509,93.861,-137.6182,2.7698,15.7453,50.2194,130.485,0.039,0.0236
6700,177.8027,103.426,103.4294,-149.3697,2.7706,16.5564,135.0457,305.9338,0.0488,0.0334
6800,226.9345,113.2123,113.2198,-161.5895,2.7702,17.4108,123.3889,269.5165,0.0603,0.0292
6900,180.266,124.2101,124.2223,-175.0916,2.7702,18.3112,63.2322,115.5136,0.0422,0.0156
7000,246.3645,135.2142,135.221,-188.7068,2.7698,19.2598,260.18,644.0546,0.0473,0.0176
7100,308.2579,147.607,147.6145,-203.7706,2.7704,20.2592,141.2688,246.0583,0.0886,0.0185
7200,455.338,158.8922,158.9096,-218.0408,2.7692,21.3123,340.9845,835.5038,0.0662,0.0275
7300,374.5952,173.1067,173.1144,-235.4324,2.7701,22.4218,61.7943,126.3015,0.0378,0.0058
7400,503.8895,187.1318,187.146,-252.6336,2.77,23.5906,215.2076,469.9259,0.0791,0.04
7500,489.107,202.1658,202.1872,-271.1021,2.7707,24.8221,592.4236,1363.0469,0.0643,0.0332
7600,593.4489,218.4081,218.42,-290.9769,2.7711,26.1193,522.2784,1206.5978,0.0686,0.0236
7700,505.6059,236.1998,236.2221,-312.5811,2.7706,27.486,532.4217,906.491,0.0383,0.0049
7800,515.629,254.1533,254.1765,-334.5965,2.7711,28.926,521.4156,1156.1001,0.0771,0.0426
7900,553.027,273.574,273.6036,-358.1465,2.7712,30.4431,269.2331,505.8157,0.0436,0.004
8000,986.014,292.8741,292.9009,-381.9226,2.7711,32.0413,521.3472,992.4583,0.0524,0.0137
8100,1205.4077,314.8063,314.8264,-408.514,2.7715,33.7252,996.5194,1986.713,0.0768,0.0071
8200,1455.2557,336.4641,336.4828,-435.1911,2.7704,35.4994,157.8775,267.6252,0.0588,0.0071
8300,991.2158,362.1927,362.2258,-465.9861,2.7705,37.3689,824.6355,1263.5488,0.0648,0.0317
8400,1549.5361,386.399,386.4221,-495.8976,2.7707,39.3384,876.8937,1389.6932,0.0707,0.0075
8500,2227.9214,412.7591,412.7748,-527.8605,2.7708,41.4134,1863.7134,3574.2708,0.087,0.024
8600,1969.3452,440.9649,440.9639,-562.0138,2.7708,43.5995,1623.3591,3090.1149,0.1077,0.0243
8700,2195.6018,472.3358,472.3414,-599.8096,2.7706,45.9028,2089.1751,3934.3211,0.1099,0.0527
8800,2963.9827,502.4715,502.4585,-637.1946,2.7709,48.3293,3092.5637,6206.2897,0.1075,0.0314
8900,2715.1989,537.225,537.2242,-678.3871,2.7709,50.8858,1778.1938,2414.0165,0.1293,0.0075
9000,3094.0599,571.8075,571.7822,-720.9677,2.7713,53.5792,1498.7959,3242.5557,0.1109,0.0185
9100,4804.5888,608.4467,608.4237,-765.3617,2.771,56.4165,3213.2855,5467.1868,0.0883,0.0188
9200,3744.0631,648.3189,648.3064,-813.4861,2.7704,59.4066,1539.8706,2405.7563,0.1413,0.0571
9300,4721.081,689.4003,689.3981,-863.6479,2.7711,62.5567,778.9592,1085.1431,0.0643,0.0118
9400,6970.5372,733.0964,733.091,-916.1435,2.7714,65.875,4484.4433,5870.5885,0.1073,0.0101
9500,8310.4762,776.6394,776.6145,-969.3588,2.7713,69.371,3511.1434,4065.0637,0.0859,0.0084
9600,8024.9498,827.1294,827.1133,-1030.2958,2.7707,73.0545,4548.0166,6916.4244,0.1417,0.0513
