env_steps,critic_loss,q1
65400,2.7547,-13.8735
65500,2.8419,-13.833
65600,2.7521,-13.8889
65700,2.5847,-13.8681
65800,3.1345,-13.8285
65900,2.8806,-13.8325
66000,2.8166,-13.8211
66100,2.689,-13.8374
66200,2.9158,-13.844
66300,2.8543,-13.8796
66400,2.9574,-13.8173
66500,2.7019,-13.8254
66600,2.7381,-13.8172
66700,2.9546,-13.7877
66800,2.8969,-13.8006
66900,2.3981,-13.8509
67000,3.0022,-13.7984
67100,2.8102,-13.8376
67200,2.8988,-13.766
67300,2.4719,-13.827
67400,3.0485,-13.775
67500,2.6664,-13.8106
67600,2.7515,-13.8429
67700,3.1968,-13.819
67800,2.9011,-13.7857
67900,2.5471,-13.8445
68000,3.074,-13.8013
68100,2.9002,-13.8128
68200,2.8912,-13.7961
68300,2.7528,-13.8251
68400,2.464,-13.8737
68500,2.5958,-13.8821
68600,2.9673,-13.8324
68700,2.8534,-13.8464
68800,2.5997,-13.8331
68900,2.9631,-13.8534
69000,2.5424,-13.8276
69100,2.5495,-13.8548
69200,2.8697,-13.7923
69300,2.5172,-13.8391
69400,2.9177,-13.7807
69500,2.6213,-13.807
69600,2.6217,-13.841
69700,2.997,-13.806
69800,3.2308,-13.8163
69900,2.7819,-13.8353
70000,2.7044,-13.8778
70100,2.7295,-13.8653
70200,2.567,-13.8969
70300,3.0333,-13.8574
70400,2.867,-13.8399
70500,2.7786,-13.8567
70600,2.9432,-13.8865
70700,2.9599,-13.8467
70800,2.7843,-13.8606
70900,2.6294,-13.8595
71000,2.5386,-13.9312
71100,2.7118,-13.8653
71200,2.8677,-13.8893
71300,2.5256,-13.9125
71400,2.6405,-13.9337
71500,3.0499,-13.8817
71600,3.0046,-13.8634
71700,2.9333,-13.8348
71800,2.7433,-13.8762
71900,2.5003,-13.8797
72000,2.9101,-13.8779
72100,3.0913,-13.8729
72200,2.6745,-13.9029
72300,3.0816,-13.8841
72400,2.6664,-13.9008
72500,2.563,-13.9649
72600,2.5453,-13.9985
72700,2.7845,-13.9723
72800,2.8119,-13.9883
72900,3.5242,-13.9168
73000,3.0313,-13.8824
73100,2.7642,-13.9044
73200,2.6401,-13.9185
73300,2.7031,-13.9886
73400,2.8948,-13.9401
73500,2.8103,-13.9224
73600,2.8454,-13.9417
73700,2.792,-13.9371
73800,2.8356,-13.9057
73900,3.0756,-13.8518
74000,3.0927,-13.8517
74100,2.6332,-13.8787
74200,2.6338,-13.8907
74300,2.5614,-13.9226
74400,2.6892,-13.9706
74500,2.6913,-13.9686
74600,2.866,-13.9892
74700,2.9803,-13.9377
74800,2.6012,-13.9931
74900,2.6307,-14.0031
75000,2.8005,-14.0329
75100,2.8115,-14.0071
75200,2.9885,-13.9655
75300,2.2072,-14.051
75400,2.9571,-13.9871
75500,2.7727,-13.9819
75600,2.1492,-14.053
75700,3.0296,-14.0117
75800,2.8363,-14.017
75900,3.139,-13.989
76000,2.4606,-14.0375
76100,2.8524,-14.0
76200,2.3804,-14.0461
76300,3.0157,-14.0019
76400,2.5704,-14.0098
76500,2.8203,-14.0033
76600,2.7525,-14.0289
76700,2.5644,-14.0323
76800,2.8747,-14.0605
76900,2.9386,-13.9992
77000,2.6562,-14.0384
77100,2.7316,-14.0499
77200,2.4456,-14.0772
77300,2.7064,-14.1049
77400,2.8433,-14.0521
77500,3.0119,-14.0582
77600,2.5582,-14.0655
77700,2.8415,-14.0488
77800,2.6144,-14.1061
77900,2.5411,-14.1232
78000,2.5185,-14.1344
78100,3.0232,-14.1028
78200,2.851,-14.0817
78300,2.399,-14.1414
78400,2.8678,-14.0953
78500,2.8231,-14.094
78600,2.796,-14.1204
78700,2.7916,-14.0895
78800,3.2248,-14.047
78900,3.3206,-14.0008
79000,2.7791,-14.0466
79100,2.927,-14.0292
79200,2.8038,-14.0366
79300,2.8442,-14.0598
79400,2.9995,-14.0404
79500,3.0459,-14.0385
79600,2.7041,-14.018
79700,2.6601,-14.0582
79800,2.773,-14.0286
79900,2.809,-14.025
80000,2.9576,-14.0028
80100,2.7648,-14.0059
80200,3.4073,-13.9341
80300,3.1377,-13.9108
80400,2.6038,-13.9959
80500,2.462,-13.9906
80600,2.5654,-14.0084
80700,3.2016,-13.9282
80800,3.1185,-13.9371
80900,3.0558,-13.8797
81000,2.7286,-13.9531
81100,2.607,-13.9396
81200,2.8438,-13.9078
81300,2.3074,-13.9496
81400,2.919,-13.9057
81500,2.8007,-13.9398
81600,2.7025,-13.9372
81700,2.7524,-13.9639
81800,3.0676,-13.9145
81900,2.7983,-13.9169
82000,3.1678,-13.898
82100,2.4939,-13.9275
82200,2.7707,-13.9501
82300,2.4485,-14.0011
82400,2.6295,-13.987
82500,2.6362,-14.0116
82600,2.3295,-14.0515
82700,2.5966,-14.0474
82800,2.6771,-14.0496
82900,3.1705,-13.9859
83000,2.7926,-13.9681
83100,2.5098,-13.9991
83200,2.6927,-13.9868
83300,2.8758,-13.9498
83400,2.6802,-14.0029
83500,2.4019,-14.0082
83600,2.9069,-13.9874
83700,3.0141,-13.9425
83800,2.8561,-13.957
83900,2.589,-14.0011
84000,2.6741,-14.0049
84100,2.702,-13.9854
84200,2.9494,-13.9495
84300,3.0261,-13.9302
84400,3.2245,-13.8973
84500,2.4209,-13.9233
84600,2.9008,-13.9379
84700,2.7074,-13.9607
84800,2.5942,-13.9718
84900,2.78,-13.9663
85000,2.6747,-13.935
85100,2.5067,-13.9482
85200,2.9136,-13.9603
85300,2.8045,-13.9565
85400,3.5403,-13.8757
85500,2.7559,-13.9337
85600,2.9282,-13.9082
85700,2.7261,-13.9515
85800,3.0597,-13.8894
85900,2.7953,-13.9022
86000,2.7632,-13.9246
86100,2.9334,-13.8952
86200,3.0869,-13.8732
86300,2.7702,-13.8748
86400,2.5058,-13.9091
86500,2.8392,-13.8642
86600,2.6119,-13.8849
86700,2.6549,-13.8761
86800,2.8272,-13.9107
86900,2.8985,-13.8913
87000,2.8668,-13.8813
87100,2.6819,-13.9076
87200,3.1485,-13.8897
87300,3.0041,-13.8841
87400,2.6165,-13.879
87500,2.9953,-13.8586
87600,2.6544,-13.8987
87700,2.9432,-13.8727
87800,2.9027,-13.864
87900,3.3241,-13.8123
88000,2.6052,-13.8576
88100,3.1474,-13.7926
88200,2.9549,-13.8384
88300,2.8172,-13.8138
88400,2.9846,-13.7832
88500,3.0443,-13.7557
88600,2.8538,-13.7573
88700,2.9081,-13.7874
88800,3.325,-13.7294
88900,2.6543,-13.7545
89000,2.9577,-13.7903
89100,2.6521,-13.7588
89200,2.7479,-13.7803
89300,2.3722,-13.8389
89400,2.5898,-13.8425
89500,2.7884,-13.8208
89600,2.67,-13.8354
89700,3.1243,-13.8035
89800,2.9999,-13.8316
89900,2.9804,-13.8027
90000,3.0902,-13.7958
90100,2.8686,-13.795
90200,2.9049,-13.8016
90300,2.9069,-13.8298
90400,2.9753,-13.7874
90500,2.7829,-13.794
90600,2.6617,-13.8086
90700,3.0918,-13.7764
90800,3.182,-13.7648
90900,2.5182,-13.8047
91000,2.882,-13.7415
91100,2.7937,-13.7939
91200,2.6402,-13.7753
91300,2.8639,-13.7787
91400,2.6738,-13.8009
91500,2.695,-13.8319
91600,2.4177,-13.8583
91700,2.7071,-13.8706
91800,3.0696,-13.8068
91900,2.8461,-13.8457
92000,2.5977,-13.889
92100,2.9427,-13.8564
92200,3.0524,-13.8547
92300,2.6969,-13.8803
92400,2.916,-13.8221
92500,2.6125,-13.8548
92600,2.617,-13.878
92700,2.5924,-13.8861
92800,2.9413,-13.8573
92900,2.6699,-13.8813
93000,2.3926,-13.9101
93100,2.789,-13.9221
93200,2.6959,-13.9042
93300,2.6172,-13.9034
93400,2.7693,-13.996
93500,3.0945,-13.9268
93600,2.8536,-13.941
93700,3.3296,-13.8764
93800,2.5869,-13.9271
93900,3.158,-13.9034
94000,2.8229,-13.9377
94100,2.8805,-13.9364
94200,3.1794,-13.8802
94300,3.0626,-13.8686
94400,3.2548,-13.8151
94500,3.1406,-13.8286
94600,2.6501,-13.872
94700,2.7056,-13.8588
94800,2.5906,-13.8878
94900,2.9224,-13.9228
95000,2.9297,-13.9069
95100,2.8837,-13.9215
95200,2.9073,-13.874
95300,2.8602,-13.9152
95400,2.9507,-13.8757
95500,2.9097,-13.8763
95600,2.642,-13.8989
95700,3.0822,-13.892
95800,2.6539,-13.9381
95900,2.9937,-13.8965
96000,2.6396,-13.9251
96100,2.6263,-13.9311
96200,2.7152,-13.9474
96300,2.626,-13.96
96400,2.6858,-13.9637
96500,2.7538,-13.9917
96600,2.467,-13.9982
96700,2.7789,-14.0083
96800,3.1521,-13.962
96900,2.7379,-13.9937
97000,2.7315,-14.0153
97100,3.2428,-13.927
97200,2.7322,-13.9685
97300,2.9792,-13.9659
97400,3.0708,-13.9094
97500,2.7501,-13.9222
97600,2.7723,-13.9272
97700,2.7299,-13.948
97800,2.6042,-13.9562
97900,3.0586,-13.9065
98000,2.9516,-13.9473
98100,2.5493,-13.9321
98200,2.9324,-13.9574
98300,2.9273,-13.9341
98400,2.7252,-13.9544
98500,2.7566,-13.9637
98600,2.8022,-13.9868
98700,2.9253,-13.9479
98800,2.5654,-13.9883
98900,2.6386,-14.0195
99000,2.7035,-14.0032
99100,2.6025,-14.0143
99200,2.7512,-14.0346
99300,2.6752,-14.0272
99400,2.9923,-14.0448
99500,2.8677,-13.9959
99600,3.1062,-13.9775
99700,2.7534,-14.0036
99800,2.7686,-13.9972
99900,2.806,-13.99
100000,2.6217,-14.0111
100100,2.5482,-14.031
100200,2.8466,-14.0394
100300,2.6872,-14.0426
100400,2.8577,-14.0112
100500,2.7739,-14.0191
100600,2.8588,-13.984
100700,2.9554,-14.0044
100800,2.9529,-14.0216
100900,2.5966,-14.0409
101000,2.6875,-14.0405
