#{"t_start": 1737036539.011619, "env_id": "None"}
r,l,t
-254.8,100,67.504443
-153.2,100,67.565989
-328.9,100,67.627881
-278.4,100,67.692306
-225.8,100,67.751568
-258.1,100,67.812534
-312.9,100,67.872212
-220.8,100,67.932329
-286.1,100,67.994082
-123.5,100,68.056151
-225.2,100,68.120638
-176.7,100,68.184842
-223.7,100,68.247234
-251.6,100,68.308972
-299.1,100,68.369173
-233.6,100,68.430566
-262.2,100,68.489748
-244.2,100,68.550373
-182.6,100,69.144585
-224.8,100,69.207807
-225.1,100,69.270194
-339.7,100,69.329096
-284.6,100,69.388383
-205.6,100,69.446722
-128.0,100,69.509662
-186.1,100,69.569584
-154.9,100,69.628677
-302.5,100,69.687512
-238.6,100,69.745819
-241.3,100,69.805028
-233.0,100,69.863993
-278.3,100,69.925134
-209.9,100,69.988704
-198.2,100,70.09071
-443.9,100,70.162572
-183.1,100,70.261999
-286.3,100,70.323177
-301.0,100,70.383471
-182.8,100,70.936239
-362.5,100,70.997907
-360.7,100,71.060757
-308.3,100,71.12685
-289.9,100,71.197154
-258.6,100,71.266199
-194.4,100,71.357883
-361.9,100,71.429455
-164.4,100,71.497075
-308.3,100,71.562486
-239.9,100,71.639103
-247.3,100,71.706528
-129.6,100,71.774693
-152.8,100,71.842094
-217.7,100,71.908192
-221.8,100,71.974573
-218.0,100,72.03975
-178.5,100,72.110938
-394.0,100,72.185305
-299.5,100,72.251462
-222.2,100,72.324717
-162.7,100,72.967269
-185.3,100,73.034476
-128.0,100,73.104111
-274.8,100,73.174412
-180.6,100,73.242548
-204.3,100,73.307312
-216.2,100,73.380098
-277.6,100,73.447742
-145.2,100,73.51437
-237.8,100,73.583315
-257.8,100,73.651712
-212.6,100,73.720147
-331.5,100,73.794664
-367.7,100,73.860704
-243.3,100,73.926657
-181.5,100,73.994273
-279.8,100,74.059337
-363.5,100,74.128129
-212.7,100,74.192514
-179.1,100,74.261499
-338.0,100,74.891145
-298.2,100,74.956169
-182.5,100,75.023616
-119.5,100,75.088747
-182.9,100,75.159087
-145.5,100,75.228071
-161.8,100,75.297966
-213.1,100,75.362149
-145.0,100,75.427083
-304.9,100,75.496552
-348.0,100,75.558943
-171.6,100,75.623869
-237.8,100,75.691763
-292.7,100,75.756403
-201.3,100,75.827011
-313.0,100,75.891718
-195.3,100,75.96234
-195.9,100,76.030479
-195.8,100,76.101603
-306.9,100,76.168461
-256.3,100,76.236026
-258.2,100,76.826271
-177.2,100,76.892093
-281.8,100,76.961706
-193.1,100,77.025924
-172.1,100,77.094417
-149.2,100,77.164951
-222.9,100,77.233761
-161.7,100,77.30248
-291.2,100,77.374241
-255.1,100,77.44171
-268.3,100,77.508993
-357.2,100,77.576814
-248.4,100,77.646611
-266.0,100,77.717434
-211.8,100,77.787189
-276.4,100,77.852197
-232.3,100,77.916902
-258.7,100,77.98589
-373.8,100,78.051401
-319.5,100,78.114667
-200.1,100,78.733066
-245.4,100,78.798032
-245.8,100,78.86372
-294.3,100,78.930358
-255.0,100,78.999607
-228.2,100,79.064208
-194.0,100,79.126281
-218.4,100,79.187115
-341.8,100,79.24619
-163.8,100,79.306348
-326.4,100,79.36724
-302.2,100,79.42587
-233.6,100,79.488935
-163.3,100,79.555104
-258.6,100,79.623508
-368.1,100,79.687113
-251.1,100,79.751226
-266.6,100,79.815896
-212.7,100,79.878827
-135.7,100,79.94214
-213.0,100,80.001987
-354.3,100,80.613807
-240.8,100,80.678595
-217.0,100,80.744
-133.8,100,80.807061
-207.8,100,80.869354
-202.2,100,80.93101
-171.3,100,80.992476
-277.7,100,81.052552
-227.4,100,81.112062
-126.9,100,81.172142
-243.1,100,81.233973
-113.0,100,81.295465
-156.5,100,81.356097
-182.6,100,81.420663
-226.1,100,81.485748
-208.7,100,81.54845
-219.9,100,81.608495
-244.0,100,81.66834
-253.0,100,81.72913
-272.7,100,81.790573
-309.6,100,82.374328
-282.1,100,82.43803
-307.3,100,82.499855
-241.7,100,82.561513
-211.8,100,82.620976
-219.7,100,82.684782
-315.8,100,82.744037
-263.3,100,82.803335
-227.0,100,82.862862
-287.3,100,82.92182
-323.0,100,82.981405
-282.0,100,83.040545
-406.6,100,83.098819
-246.0,100,83.158141
-262.4,100,83.22016
-320.5,100,83.283939
-301.5,100,83.345467
-337.4,100,83.407353
-216.4,100,83.469936
-156.7,100,83.531505
-352.2,100,83.593772
-240.4,100,84.195737
-123.3,100,84.258454
-356.7,100,84.319457
-207.8,100,84.379673
-167.2,100,84.439434
-237.6,100,84.499625
-250.8,100,84.558865
-282.5,100,84.620948
-297.0,100,84.680958
-265.8,100,84.741566
-162.9,100,84.801858
-178.5,100,84.861446
-263.0,100,84.920309
-243.0,100,84.982421
-294.4,100,85.044691
-207.7,100,85.106956
-280.3,100,85.166536
-203.3,100,85.227031
-269.4,100,85.286607
-200.9,100,85.350902
-223.7,100,85.901502
-327.4,100,85.964053
-324.8,100,86.025767
-236.4,100,86.088004
-206.0,100,86.147829
-255.7,100,86.207089
-192.6,100,86.267483
-186.1,100,86.326909
-279.9,100,86.389756
-351.2,100,86.447865
-322.2,100,86.506469
-250.9,100,86.565181
-283.7,100,86.624355
-188.5,100,86.708772
-313.5,100,86.771122
-182.0,100,86.834494
-182.4,100,86.89654
-184.8,100,86.955815
-223.1,100,87.01552
-193.9,100,87.075057
-259.6,100,87.144225
-201.8,100,87.775109
-272.8,100,87.836783
-289.9,100,87.898686
-220.5,100,87.970227
-168.1,100,88.042601
-353.0,100,88.111837
-244.5,100,88.18301
-228.2,100,88.258013
-293.4,100,88.332295
-369.3,100,88.409714
-284.0,100,88.482648
-214.1,100,88.548789
-208.7,100,88.614075
-474.1,100,88.680406
-151.1,100,88.744344
-246.4,100,88.817624
-376.2,100,88.885588
-256.4,100,88.959081
-326.2,100,89.026113
-274.0,100,89.091911
