#{"t_start": 1737119876.4553668, "env_id": "None"}
r,l,t,invalid_share
-258.6,100,36.778094,0.05
-205.4,100,36.846626,0.05
-443.4,100,36.911113,0.04
-330.1,100,36.975714,0.06
-223.0,100,37.041087,0.04
-315.7,100,37.687331,0.07
-318.6,100,37.75076,0.01
-230.7,100,37.816067,0.0
-337.3,100,37.882082,0.03
-294.1,100,37.946211,0.02
-271.9,100,38.00819,0.01
-236.6,100,38.071484,0.01
-292.4,100,38.134954,0.02
-328.8,100,38.205655,0.02
-348.5,100,38.270683,0.04
-252.7,100,38.336017,0.0
-304.0,100,38.405642,0.01
-221.8,100,38.47386,0.0
-311.2,100,38.542568,0.05
-269.6,100,38.609806,0.03
-319.1,100,38.676637,0.03
-294.3,100,38.74669,0.03
-256.1,100,38.812748,0.02
-280.3,100,38.883334,0.04
-307.9,100,38.950658,0.01
-356.7,100,39.020203,0.02
