env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
26300,35370.9823,-12873.9087,-12874.4292,-235.4193,3.9695,1.0,84013.8957,270224.4258,0.222,0.0
26400,34887.7504,-12832.7086,-12833.3438,-234.6569,3.9696,1.0,93593.8749,329805.3789,0.2664,0.0
26500,34659.6594,-12978.1136,-12979.5088,-237.332,3.9696,1.0,56535.5353,190589.7383,0.2771,0.0
26600,35534.6156,-13243.3779,-13244.1071,-242.2374,3.9696,1.0,141138.1893,440046.3672,0.2686,0.0
26700,35564.7797,-12957.7006,-12958.1838,-236.8994,3.9696,1.0,254396.8096,916308.5469,0.2476,0.0
26800,37171.0171,-12950.2925,-12951.0524,-236.8412,3.9696,1.0,488821.4767,1847811.3125,0.246,0.0
26900,119610.0443,-13266.0027,-13263.7689,-242.8975,3.9694,1.0,866255.216,2939707.75,0.2829,0.0
27000,97678.2759,-13222.9915,-13223.4112,-241.9668,3.9695,1.0,73978.1142,227863.8125,0.3002,0.0
27100,42599.8678,-13033.7836,-13035.3182,-238.4971,3.9695,1.0,139829.8039,509168.3359,0.2822,0.0
27200,38370.3512,-13229.6145,-13230.7668,-242.0211,3.9695,1.0,82653.4612,225860.0273,0.3196,0.0
27300,35962.8594,-13038.7456,-13039.415,-238.5399,3.9696,1.0,77725.3377,211543.043,0.2635,0.0
27400,36035.9837,-13250.0159,-13250.8415,-242.4142,3.9696,1.0,55069.9497,166848.1582,0.2697,0.0
27500,36312.0883,-13036.6636,-13037.7022,-238.5751,3.9695,1.0,52295.8041,148667.1816,0.2595,0.0
27600,36246.8243,-13262.4655,-13263.6933,-242.6292,3.9695,1.0,73365.1386,231329.5234,0.314,0.0
27700,36402.6836,-13050.7719,-13051.7849,-238.7947,3.9696,1.0,101860.0294,377133.7891,0.2995,0.0
27800,36759.9657,-13330.8946,-13332.0764,-243.9088,3.9696,1.0,55197.8413,168063.6094,0.3237,0.0
27900,45470.3777,-13287.9136,-13288.8962,-243.3485,3.9696,1.0,632096.6867,2245180.9062,0.2894,0.0
28000,65284.1244,-13177.1133,-13176.9657,-240.8908,3.9696,1.0,102466.5442,351836.1445,0.2211,0.0
28100,40109.9828,-13471.7315,-13473.6893,-246.5212,3.9694,1.0,65912.8278,222909.0117,0.2494,0.0
28200,37081.9642,-13398.5601,-13399.6679,-245.1916,3.9695,1.0,68004.6979,170980.8711,0.2734,0.0
28300,36841.4689,-13246.0008,-13247.035,-242.4269,3.9695,1.0,63155.3376,184336.4922,0.2332,0.0
